1 : [11, 1956, 156, 2101, 2765, 4346, 2909, 4490]
2 : [11, 1279, 157, 1425, 2100, 4344, 2246, 4490]
3 : [11, 1903, 155, 2047, 2570, 4345, 2715, 4490]
4 : [11, 2167, 154, 2310, 3022, 4346, 3166, 4490]
5 : [11, 2311, 161, 2461, 3719, 4339, 3870, 4490]
6 : [11, 2196, 155, 2340, 2697, 4344, 2843, 4490]
7 : [11, 1787, 164, 1940, 2962, 4335, 3117, 4490]
8 : [11, 2419, 168, 2576, 3533, 4337, 3686, 4490]
9 : [11, 2290, 164, 2443, 3410, 4336, 3564, 4490]
10 : [11, 2122, 169, 2280, 2766, 4331, 2925, 4490]
